No,City,Census1991,Census2001,Census2011,X,Y,Region
1,London,"6,715,769","7,208,384","8,250,205",191.27762,298.71484,England
2,Birmingham,"965,928","970,892","1,085,810",110.01646,205.90067,England
3,Glasgow,...,"575,132","590,507",41.076767,-114.962906,Scotland
4,Liverpool,"538,386","523,783","552,267",71.35152,116.9008,England
5,Bristol,"496,044","516,997","535,907",59.66648,285.50037,England
6,Sheffield,"457,805","469,127","518,090",139.43747,128.29942,England
7,Manchester,"447,863","438,752","510,746",101.591965,111.89218,England
8,Leeds,"424,194","445,795","474,632",146.78737,93.79941,England
9,Edinburgh,"400,632","431,393","459,366",91.82677,-100.212906,Scotland
10,Leicester,"377,700","401,448","443,760",150.31635,196.05093,England
11,Bradford,"305,101","311,130","349,561",128.48746,89.349434,England
12,Cardiff,"276,464","296,808","335,145",27.416481,274.50037,Wales
13,Coventry,"299,316","305,854","325,949",128.56644,212.05074,England
14,Nottingham,"270,222","249,584","289,301",153.00232,167.85724,England
15,Kingston upon Hull,"310,636","301,416","284,321",206.01744,105.46767,England
16,Belfast,"279,237","276,705","280,561",-60.269093,-8.975942,Northern Ireland
17,Stoke-on-Trent,"266,543","259,252","270,726",103.026855,156.13748,England
18,Newcastle upon Tyne,"255,362","254,777","268,064",153.1769,-7.4626236,England
19,Derby,"223,836","229,407","255,394",138.56635,169.80093,England
20,Southampton,"210,138","234,224","253,651",116.316376,340.60007,England
21,Portsmouth,...,...,"238,137",132.76646,352.90012,England
22,Plymouth,...,...,"234,982",-37.433586,364.20044,England
23,Brighton and Hove,"192,453","206,628","229,700",183.71469,356.11267,England
24,Reading,"213,474",...,"218,705",143.31473,299.46277,England
25,Northampton,"183,082","197,199","215,173",159.8663,230.35088,England
26,Luton,"171,671","185,543","211,228",180.36635,265.10007,England
27,Wolverhampton,...,...,"210,319",100.01639,193.75092,England
28,Aberdeen,"182,133","185,226","195,021",161.72678,-198.7226,Scotland
29,Bolton,...,...,"194,189",94.82683,105.53743,England
30,Bournemouth,"155,488","167,527","187,503",90.36655,353.35013,England
31,Norwich,"171,304","174,047","186,682",276.70154,212.54836,England
32,Swindon,"145,236","155,432","182,441",105.9517,284.749,England
33,Swansea,"171,038","169,880","179,485",-17.698391,260.29865,Wales
34,Southend-on-Sea,"158,517","160,257","175,547",236.55147,302.34836,England
35,Middlesbrough,"184,773","175,479","174,700",170.18938,34.85495,England
36,Sunderland,"183,310","177,739","174,286",163.28947,4.60495,England
37,Milton Keynes,"102,428","122,041","171,750",165.33907,247.00455,England
38,Warrington,"152,458","158,195","165,456",87.38949,122.05497,England
39,Huddersfield,"147,847","149,938","162,949",124.23912,113.65474,England
40,Peterborough,"134,788","136,292","161,707",195.55151,205.0484,England
41,Oxford,"118,795","143,016","159,994",136.03917,271.4546,England
42,Slough,"121,811","137,736","155,298",167.40187,298.24927,England
43,Poole,"138,479","144,800","154,718",85.201614,354.24844,England
44,York,"124,609","137,505","152,841",171.28737,86.04941,England
45,Blackpool,"146,262","142,283","147,663",70.57683,81.78743,England
46,Dundee,...,"145,817","147,285",115.1457,-143.92139,Scotland
47,Cambridge,"109,912","127,713","145,818",216.91438,242.7568,England
48,Ipswich,"130,157","138,718","144,957",264.91437,261.2568,England
49,Birkenhead,"149,164","137,634","142,968",61.16444,119.557434,England
50,Telford,"114,251","131,489","142,723",82.968834,178.26163,England
51,Gloucester,"114,003","123,205","136,362",84.41442,255.0064,England
52,Sale,...,...,"134,022",95.99557,118.12919,England
53,Watford,"113,080","120,960","131,982",178.3645,283.50607,England
54,Newport,"115,522","118,323","128,060",43.666428,272.75058,Wales
55,Solihull,"118,103","118,907","123,187",117.29574,212.67896,England
56,High Wycombe,"106,123","110,473","120,256",156.36453,289.15616,England
57,Gateshead,"118,212","112,599","120,046",151.73518,-2.5522175,England
58,Colchester,"96,063","104,390","119,441",244.91438,274.2568,England
59,Blackburn,...,...,"117,963",102.264465,89.10738,England
60,Cheltenham,"102,633","110,320","116,447",92.71448,252.70638,England
61,Exeter,"94,717","106,772","113,507",1.6144772,341.2061,England
62,Chelmsford,"97,451","99,962","110,507",226.76422,284.5066,England
63,Doncaster,"103,580","101,056","109,805",164.38306,119.49788,England
64,Rotherham,...,...,"109,691",155.16757,131.71768,England
65,Eastbourne,"94,793","106,562","109,185",204.88614,364.9894,England
66,Worthing,...,...,"109,120",170.5862,356.6395,England
67,Sutton Coldfield,"106,001","105,452","109,015",112.33609,194.84053,England
68,Rochdale,"100,935","102,888","107,926",112.386314,105.439735,England
69,Maidstone,...,...,"107,627",227.53616,328.43964,England
70,Basingstoke,"81,228","93,963","107,355",128.63626,313.18976,England
71,Basildon,"100,924","99,876","107,123",225.38612,294.9898,England
72,Crawley,"88,203","100,547","106,943",184.53618,332.93964,England
73,Stockport,...,...,"105,878",110.93627,124.78978,England
74,Woking,"101,484","105,262","105,367",166.18617,314.48947,England
75,Gillingham,"94,923","98,403","104,157",216.13618,313.68964,England
76,Salford,...,...,"103,886",98.386246,116.439766,England
77,Wigan,"98,070","92,415","103,608",86.68622,110.43973,England
78,St Helens,"106,293","102,629","102,885",80.38623,112.989746,England
79,Lincoln,"97,996","104,221","100,160",188.0543,150.30281,England
80,Worcester,"82,661","94,029","100,153",89.695724,226.77888,England
